regime,n,seed,algo,params,trueEdges,estEdges,adjP,adjR,adjF1,ahP,ahR,elapsedMs,status
POLY,200,0,BOSS-BF,trunc=3;pd=2.0,23,12,1.0000,0.5217,0.6857,0.5000,0.2941,58,OK
POLY,200,0,BOSS-FFML,rho=0.0;m=50;lam=1.0,23,12,1.0000,0.5217,0.6857,0.5000,0.2941,862,OK
POLY,200,0,BOSS-FFML,rho=0.5;m=50;lam=1.0,23,13,1.0000,0.5652,0.7222,0.4545,0.2941,669,OK
POLY,200,1,BOSS-BF,trunc=3;pd=2.0,23,18,0.9444,0.7391,0.8293,0.9375,0.7895,25,OK
POLY,200,1,BOSS-FFML,rho=0.0;m=50;lam=1.0,23,20,0.8000,0.6957,0.7442,0.5294,0.4737,1056,OK
POLY,200,1,BOSS-FFML,rho=0.5;m=50;lam=1.0,23,20,0.8000,0.6957,0.7442,0.5294,0.4737,1088,OK
POLY,200,2,BOSS-BF,trunc=3;pd=2.0,23,10,0.9000,0.3913,0.5455,0.6250,0.2500,6,OK
POLY,200,2,BOSS-FFML,rho=0.0;m=50;lam=1.0,23,12,0.9167,0.4783,0.6286,0.8750,0.3500,730,OK
POLY,200,2,BOSS-FFML,rho=0.5;m=50;lam=1.0,23,12,0.9167,0.4783,0.6286,0.8750,0.3500,658,OK
POLY,200,3,BOSS-BF,trunc=3;pd=2.0,23,9,0.8889,0.3478,0.5000,0.8333,0.2632,8,OK
POLY,200,3,BOSS-FFML,rho=0.0;m=50;lam=1.0,23,10,0.9000,0.3913,0.5455,0.5556,0.2632,523,OK
POLY,200,3,BOSS-FFML,rho=0.5;m=50;lam=1.0,23,14,0.9286,0.5652,0.7027,0.4615,0.3158,720,OK
POLY,200,4,BOSS-BF,trunc=3;pd=2.0,23,19,1.0000,0.8261,0.9048,1.0000,0.7895,5,OK
POLY,200,4,BOSS-FFML,rho=0.0;m=50;lam=1.0,23,18,0.9444,0.7391,0.8293,0.8125,0.6842,646,OK
POLY,200,4,BOSS-FFML,rho=0.5;m=50;lam=1.0,23,18,1.0000,0.7826,0.8780,1.0000,0.7895,696,OK
POLY,1000,0,BOSS-BF,trunc=3;pd=2.0,23,21,1.0000,0.9130,0.9545,1.0000,0.8824,11,OK
POLY,1000,0,BOSS-FFML,rho=0.0;m=50;lam=1.0,23,17,0.9412,0.6957,0.8000,0.5000,0.2941,18888,OK
POLY,1000,0,BOSS-FFML,rho=0.5;m=50;lam=1.0,23,17,0.9412,0.6957,0.8000,0.5000,0.2941,20961,OK
POLY,1000,1,BOSS-BF,trunc=3;pd=2.0,23,22,0.9545,0.9130,0.9333,0.9474,0.9474,16,OK
POLY,1000,1,BOSS-FFML,rho=0.0;m=50;lam=1.0,23,26,0.7692,0.8696,0.8163,0.6316,0.6316,16400,OK
POLY,1000,1,BOSS-FFML,rho=0.5;m=50;lam=1.0,23,26,0.7692,0.8696,0.8163,0.6667,0.7368,20240,OK
POLY,1000,2,BOSS-BF,trunc=3;pd=2.0,23,20,0.9500,0.8261,0.8837,1.0000,0.7500,10,OK
POLY,1000,2,BOSS-FFML,rho=0.0;m=50;lam=1.0,23,20,0.7000,0.6087,0.6512,0.4286,0.3000,10245,OK
POLY,1000,2,BOSS-FFML,rho=0.5;m=50;lam=1.0,23,21,0.6667,0.6087,0.6364,0.4000,0.3000,15020,OK
POLY,1000,3,BOSS-BF,trunc=3;pd=2.0,23,19,1.0000,0.8261,0.9048,1.0000,0.7368,6,OK
POLY,1000,3,BOSS-FFML,rho=0.0;m=50;lam=1.0,23,17,1.0000,0.7391,0.8500,0.7273,0.4211,21788,OK
POLY,1000,3,BOSS-FFML,rho=0.5;m=50;lam=1.0,23,17,1.0000,0.7391,0.8500,0.7273,0.4211,23914,OK
POLY,1000,4,BOSS-BF,trunc=3;pd=2.0,23,21,1.0000,0.9130,0.9545,1.0000,0.8421,10,OK
POLY,1000,4,BOSS-FFML,rho=0.0;m=50;lam=1.0,23,21,0.9524,0.8696,0.9091,0.9375,0.7895,31332,OK
POLY,1000,4,BOSS-FFML,rho=0.5;m=50;lam=1.0,23,21,1.0000,0.9130,0.9545,1.0000,0.8421,32878,OK
GP,200,0,BOSS-BF,trunc=3;pd=2.0,23,4,1.0000,0.1739,0.2963,NA,0.0000,1,OK
GP,200,0,BOSS-FFML,rho=0.0;m=50;lam=1.0,23,12,1.0000,0.5217,0.6857,0.6667,0.3529,551,OK
GP,200,0,BOSS-FFML,rho=0.5;m=50;lam=1.0,23,13,0.9231,0.5217,0.6667,0.6000,0.3529,601,OK
GP,200,1,BOSS-BF,trunc=3;pd=2.0,23,4,1.0000,0.1739,0.2963,NA,0.0000,2,OK
GP,200,1,BOSS-FFML,rho=0.0;m=50;lam=1.0,23,14,0.9286,0.5652,0.7027,0.6154,0.4211,434,OK
GP,200,1,BOSS-FFML,rho=0.5;m=50;lam=1.0,23,12,1.0000,0.5217,0.6857,0.8000,0.4211,358,OK
GP,200,2,BOSS-BF,trunc=3;pd=2.0,23,4,0.7500,0.1304,0.2222,NA,0.0000,2,OK
GP,200,2,BOSS-FFML,rho=0.0;m=50;lam=1.0,23,6,1.0000,0.2609,0.4138,1.0000,0.1500,354,OK
GP,200,2,BOSS-FFML,rho=0.5;m=50;lam=1.0,23,6,1.0000,0.2609,0.4138,1.0000,0.1500,374,OK
GP,200,3,BOSS-BF,trunc=3;pd=2.0,23,3,1.0000,0.1304,0.2308,NA,0.0000,1,OK
GP,200,3,BOSS-FFML,rho=0.0;m=50;lam=1.0,23,11,1.0000,0.4783,0.6471,0.7000,0.3684,485,OK
GP,200,3,BOSS-FFML,rho=0.5;m=50;lam=1.0,23,11,1.0000,0.4783,0.6471,0.7000,0.3684,508,OK
GP,200,4,BOSS-BF,trunc=3;pd=2.0,23,6,1.0000,0.2609,0.4138,NA,0.0000,1,OK
GP,200,4,BOSS-FFML,rho=0.0;m=50;lam=1.0,23,21,0.9524,0.8696,0.9091,1.0000,0.8947,812,OK
GP,200,4,BOSS-FFML,rho=0.5;m=50;lam=1.0,23,24,0.8333,0.8696,0.8511,0.7727,0.8947,854,OK
GP,1000,0,BOSS-BF,trunc=3;pd=2.0,23,14,0.9286,0.5652,0.7027,0.5714,0.2353,5,OK
GP,1000,0,BOSS-FFML,rho=0.0;m=50;lam=1.0,23,13,1.0000,0.5652,0.7222,0.6000,0.3529,11622,OK
GP,1000,0,BOSS-FFML,rho=0.5;m=50;lam=1.0,23,13,1.0000,0.5652,0.7222,0.6000,0.3529,16831,OK
GP,1000,1,BOSS-BF,trunc=3;pd=2.0,23,11,1.0000,0.4783,0.6471,1.0000,0.3684,5,OK
GP,1000,1,BOSS-FFML,rho=0.0;m=50;lam=1.0,23,20,1.0000,0.8696,0.9302,1.0000,0.8421,12186,OK
GP,1000,1,BOSS-FFML,rho=0.5;m=50;lam=1.0,23,20,1.0000,0.8696,0.9302,1.0000,0.8421,12485,OK
