TOWN	NTRACTS	LON	LAT	CRIM	ZN	INDUS	CHAS_PROP	NOX	RM	AGE	DIS	RAD	TAX	PTRATIO	B	LSTAT	CMEDV
Nahant	1	-70.955	42.255	0.00632	18	2.31	0	0.538	6.575	65.2	4.09	1	296	15.3	396.9	4.98	24
Swampscott	2	-70.943	42.28525	0.0273	0	7.07	0	0.469	6.803	70	4.9671	2	242	17.8	394.865	6.585	28.15
Marblehead	3	-70.922167	42.298333	0.043757	0	2.18	0	0.458	6.858333	52.9	6.0622	3	222	18.7	395.216667	4.493333	32.766667
Salem	7	-70.937929	42.310571	0.150037	12.5	7.87	0	0.524	6.013429	80.685714	6.029929	5	311	15.2	392.251429	18.291429	19.428571
Lynn	22	-70.972509	42.282077	0.964475	0	8.14	0	0.538	5.934591	82.159091	4.205823	4	307	21	359.653636	15.29	16.713636
Sargus	4	-71.008	42.279625	0.1042	0	5.96	0	0.499	5.8975	50.325	3.629925	5	279	19.2	391.1975	9.9975	21.025
Lynnfield	2	-71.0215	42.3185	0.03061	75	2.95	0	0.428	6.8095	18.8	5.4011	3	252	18.3	395.625	3.15	32.85
Peabody	9	-70.972556	42.318222	0.179298	0	6.91	0	0.448	5.968667	40.655556	5.636833	3	233	17.9	392.552222	13.09	20.833333
Danvers	4	-70.9625	42.340175	0.058877	21	5.64	0	0.439	6.14675	37.8	6.8147	4	243	16.8	395.8325	9.1475	22.15
Middleton	1	-71.0175	42.3715	0.0136	75	4	0	0.41	5.888	47.6	7.3197	3	469	21.1	396.9	14.8	18.9
Topsfield	1	-70.9625	42.381	0.01311	90	1.22	0	0.403	7.249	21.9	8.6966	5	226	17.9	395.93	4.81	35.4
Hamilton	1	-70.93	42.374	0.02055	85	0.74	0	0.41	6.383	35.7	9.1876	2	313	17.3	396.9	5.77	24.7
Wenham	1	-70.9295	42.3715	0.01432	100	1.32	0	0.411	6.816	40.5	8.3248	5	256	15.1	392.9	3.95	31.6
Beverly	6	-70.927917	42.335583	0.135922	25	5.13	0	0.453	6.166167	57.866667	7.33285	8	284	19.7	392.208333	9.983333	20.8
Manchester	1	-70.86	42.345	0.01951	17.5	1.38	0	0.4161	7.104	59.5	9.2229	3	216	18.6	393.24	8.05	33
North-Reading	2	-71.057	42.34875	0.039815	80	3.37	0	0.398	6.0385	24.45	6.6115	4	337	16.1	396.9	7.455	21.45
Wilmington	3	-71.103	42.3344	0.107197	12.5	6.07	0	0.409	5.785667	30.4	6.498	4	345	18.9	396.67	9.993333	20.1
Burlington	4	-71.120875	42.30345	0.133513	0	10.81	0	0.413	6.172	9.525	5.2873	4	305	19.2	382.1875	7.415	23.025
Woburn	6	-71.093	42.291583	0.083835	0	12.83	0	0.437	6.180667	43.6	4.40225	5	398	18.7	386.871667	9.9	21.3
Reading	4	-71.065625	42.3165	0.039462	25	4.86	0	0.426	6.45375	45.7	5.4007	4	281	19	395.0175	6.685	24.9
Wakefield	4	-71.04125	42.30025	0.057833	0	4.49	0	0.449	6.28875	51.5	4.347975	3	247	18.5	395.085	9.3625	23.8
Melrose	4	-71.03725	42.2754	0.048945	0	3.41	0	0.489	6.727	72.35	3.25515	2	270	17.8	394.6725	7.0525	24.225
Stoneham	3	-71.058833	42.287667	0.037907	28	15.04	0	0.464	6.300667	53.266667	3.648933	4	270	18.2	396.08	8.32	22.833333
Winchester	5	-71.08564	42.2726	0.101676	0	2.89	0	0.445	7.2186	60.56	3.4952	2	276	18	387.428	6.392	33.1
Medford	11	-71.066336	42.249555	0.161593	0	8.56	0	0.52	6.266273	84.590909	2.5164	5	384	20.9	364.151818	13.048182	21.118182
Malden	9	-71.036267	42.257667	0.146422	0	10.01	0	0.547	6.078	81.744444	2.556967	6	432	17.8	382.114444	13.443333	19.688889
Everett	7	-71.0315	42.245271	0.14841	0	25.65	0	0.581	5.881286	89.071429	2.034686	2	188	19.1	376.987143	18.804286	19.428571
Somerville	15	-71.065273	42.235313	0.589432	0	21.89	0	0.624	6.028533	97.173333	1.961967	4	437	21.2	383.732	17.736	17.093333
Cambridge	30	-71.067827	42.224737	2.11065	0	19.58	0.233333	0.746867	6.090433	95.163333	1.831073	5	403	14.7	317.449667	14.163333	23.65
Arlington	7	-71.094971	42.249257	0.081846	0	4.05	0	0.51	6.226857	67.057143	2.980614	5	296	16.6	393.812857	8.86	25.2
Belmont	8	-71.105513	42.233925	0.072905	0	2.46	0	0.488	6.774375	75.4875	2.897788	3	193	17.8	393.89	8.01625	36.2
Lexington	6	-71.135317	42.266933	0.089112	45	3.44	0	0.437	6.8985	31.283333	5.393567	5	398	15.2	388.581667	4.881667	32.766667
Bedford	2	-71.1579	42.3015	0.01813	60	2.93	0	0.401	6.702	14.35	6.2196	1	265	15.6	385.035	4.705	30.1
