graph,A,Y,identified,estimate
dag,3,15,true,0.000378490993735
dag,6;11,12,true,-0.741723876669;0.00000000000
dag,15;10,12,true,0.00000000000;0.00000000000
dag,4,12,true,-0.184085067652
dag,13;5;1,6,true,0.00000000000;0.00000000000;0.00000000000
dag,6;15;8,11,true,0.00000000000;0.00000000000;0.00000000000
dag,15;8;2,1,true,0.00000000000;0.00000000000;0.00000000000
dag,11;15,14,true,0.316893801058;0.00000000000
dag,10;15;1,14,true,-0.388559933539;0.00000000000;0.00000000000
dag,10;1,14,true,-0.388559933539;0.00000000000
dag,8;3;15,10,true,0.971015214688;0.00000000000;0.00000000000
dag,9;8;6,10,true,0.00000000000;0.971015214688;0.00000000000
dag,11,14,true,0.316893801058
dag,8;12,10,true,0.971015214688;0.00000000000
dag,14;7;15,5,true,0.00000000000;0.00000000000;0.00000000000
dag,9;1,11,true,0.00000000000;0.00000000000
dag,6;4;2,13,true,0.00000000000;0.00000000000;0.00000000000
dag,2;11,12,true,0.512989242060;0.00000000000
dag,12;14,6,true,0.00000000000;0.00000000000
dag,10;12;13,15,true,0.0145888237143;0.00000000000;0.00000000000
dag,5,14,true,0.0828733308466
dag,5;1;6,14,true,0.0828733308466;0.00000000000;0.00000000000
dag,12;4,3,true,0.00000000000;0.00000000000
dag,8;7,15,true,0.0141659697910;0.0160489856469
dag,9,4,true,0.00000000000
dag,6;10;2,12,true,-0.741723876669;0.00000000000;0.164776060949
dag,5;2,10,true,-0.213283263902;-0.227937930703
dag,12,9,true,0.00000000000
dag,1;8,6,true,0.00000000000;0.00000000000
dag,5,14,true,0.0828733308466
dag,11;5;6,15,true,-0.0118980558744;-0.00311155193828;0.00000000000
dag,10;11,2,true,0.00000000000;0.00000000000
dag,10;8;1,15,true,0.0145888237143;0.00000000000;0.00000000000
dag,3;6,14,true,-0.0100807603307;0.00000000000
dag,15,1,true,0.00000000000
dag,10;2;14,15,true,0.00000000000;-0.350820576256;-0.0375458776242
dag,7;12,10,true,0.355327363806;0.00000000000
dag,6,12,true,-0.741723876669
dag,1;9,15,true,0.00000000000;0.00000000000
dag,6,12,true,-0.741723876669
cpdag,2;15;14,4,false,NA
cpdag,7;9;15,13,false,NA
cpdag,12;13;8,9,false,NA
cpdag,5;3;11,8,false,NA
cpdag,12,15,true,0.00000000000
cpdag,7,13,false,NA
cpdag,3,8,false,NA
cpdag,10,15,true,0.0145888237143
cpdag,5,8,false,NA
cpdag,13,3,true,0.00000000000
cpdag,8;7,15,true,0.0141659697910;0.0160489856469
cpdag,8;12;2,14,false,NA
cpdag,5;2,10,false,NA
cpdag,8,15,true,0.0141659697910
cpdag,2;10;13,15,false,NA
cpdag,1,15,true,0.00000000000
cpdag,11;15,14,true,0.316893801058;0.00000000000
cpdag,15;1,9,true,0.00000000000;0.00000000000
cpdag,5,15,false,NA
cpdag,14;8,15,true,-0.0375458776242;0.00000000000
cpdag,11;2,14,true,0.316893801058;-0.141150729103
cpdag,5;1,15,false,NA
cpdag,13;5,8,false,NA
cpdag,3;7,9,false,NA
cpdag,7,14,true,-0.427450006830
cpdag,15,1,true,0.00000000000
cpdag,6,12,false,NA
cpdag,10,14,true,-0.388559933539
cpdag,13;15,2,true,0.00000000000;0.00000000000
cpdag,13,6,true,0.00000000000
cpdag,15;11;8,1,true,0.00000000000;0.00000000000;0.00000000000
cpdag,2;8,12,false,NA
cpdag,2,11,false,NA
cpdag,15;8,13,true,0.00000000000;0.00000000000
cpdag,5;1,8,false,NA
cpdag,4;7,12,false,NA
cpdag,1;6;12,5,true,0.00000000000;0.00000000000;0.00000000000
cpdag,8;12,10,true,0.971015214688;0.00000000000
cpdag,2;4,6,false,NA
cpdag,12,9,true,0.00000000000
mpdag,2,10,true,-0.227937930703
mpdag,8;4;6,10,false,NA
mpdag,9,5,false,NA
mpdag,13,1,true,0.00000000000
mpdag,1;7,9,true,0.00000000000;0.00000000000
mpdag,15,9,true,0.00000000000
mpdag,11,14,true,0.316893801058
mpdag,7;6,14,false,NA
mpdag,15,9,true,0.00000000000
mpdag,12;6;3,7,true,0.00000000000;0.00000000000;0.00000000000
mpdag,4;8,12,true,-0.184085067652;0.00000000000
mpdag,6,14,false,NA
mpdag,10,15,true,0.0145888237143
mpdag,9,15,false,NA
mpdag,3;4;9,14,false,NA
mpdag,10,14,true,-0.388559933539
mpdag,11;10;5,15,true,-0.0118980558744;0.0145888237143;0.00000000000
mpdag,14;1,15,true,-0.0375458776242;0.00000000000
mpdag,9;4;14,8,false,NA
mpdag,1;10;13,6,true,0.00000000000;0.00000000000;0.00000000000
mpdag,6;15,8,true,0.00000000000;0.00000000000
mpdag,13;3;14,2,true,0.00000000000;0.00000000000;0.00000000000
mpdag,12;8;11,1,true,0.00000000000;0.00000000000;0.00000000000
mpdag,14,15,true,-0.0375458776242
mpdag,5;9,8,false,NA
mpdag,12,11,true,0.00000000000
mpdag,11,14,true,0.316893801058
mpdag,10,15,true,0.0145888237143
mpdag,7;8;6,13,false,NA
mpdag,7;6,11,false,NA
mpdag,6;7;2,13,false,NA
mpdag,9,8,false,NA
mpdag,2;15,12,false,NA
mpdag,13;2;9,8,false,NA
mpdag,4;6;13,15,false,NA
mpdag,13;6;1,15,false,NA
mpdag,11;5,14,false,NA
mpdag,6;9,12,false,NA
mpdag,13;5;15,14,false,NA
mpdag,5,10,false,NA
