X29	X45	X32	X22	X8	X41	X43	X46	X39	X27	X50	X31	X5	X34	X16	X35	X3	X25	X49	X33	X6	X2	X15	X14	X7	X26	X23	X47	X36	X40	X9	X1	X11	X19	X13	X20	X28	X17	X18	X37	X30	X24	X42	X21	X44	X12	X38	X4	X10	X48
1.2314	1	-0.3785	0	2	0	1	1	0.6824	0.9117	0.4357	-1.3675	0.5854	-2.3850	-0.3734	-1.3812	2.7296	1	1	0	-0.3485	2.6737	0	0.9462	1	2	0	0	-2.8329	0.0747	-0.3195	-4.0860	-0.2277	-0.7426	2	1	2	3.3404	2	-2.7011	2	1	-1.2650	-0.6013	0	1	0	1.9882	1	2
-0.3301	2	-2.2078	0	0	0	2	2	1.5676	-0.0930	1.6361	-0.1574	0.1289	-0.6254	0.4232	1.0959	-0.6205	0	0	1	2.0327	-3.5486	2	0.5069	0	2	2	1	-1.6998	-2.1288	0.2560	-2.9419	-1.4134	-0.4781	2	0	0	-2.0711	0	0.6197	1	2	2.1673	-2.4318	0	2	0	-3.1412	1	2
-1.0514	2	1.0701	1	0	2	1	2	-0.1548	-3.6278	-0.1398	2.2930	-1.8504	1.3070	-0.7240	2.3093	0.0256	2	2	2	-0.5376	0.2359	0	-1.1699	2	2	1	1	-0.9701	-3.4778	-0.6633	2.0550	1.7764	-0.0252	0	0	0	-0.8213	2	1.1439	2	1	-0.5597	-0.2895	1	0	0	0.6399	1	0
0.6674	1	1.2173	0	0	0	0	2	-1.0340	-1.4338	2.7079	0.4767	0.1349	0.6586	-0.5437	0.6931	0.9032	0	2	2	-0.0615	0.3111	1	0.0526	0	1	1	2	-1.1341	-1.5338	-0.4736	2.6315	0.4635	-0.9865	1	2	2	-2.9097	1	-2.1059	0	1	-0.2726	-2.6899	2	0	0	1.0763	1	1
-1.8888	2	-0.9500	1	2	2	0	0	0.1866	-0.8282	-2.1455	-1.1004	1.8761	-2.6896	1.3386	0.6569	0.4896	2	2	0	-1.1915	-0.7227	1	-0.7275	0	2	2	1	-0.6987	0.1387	1.1256	2.4411	1.5000	1.6658	1	0	0	1.6908	0	3.5478	2	2	-1.1404	3.9613	1	0	1	-1.0819	2	2
-0.3461	0	-1.2522	0	1	0	2	2	-0.9427	-2.0407	-0.6564	2.3234	-1.2019	1.7033	-0.4006	0.9468	2.4876	0	1	0	-0.7698	-1.5115	0	0.5751	1	0	0	2	0.5682	-1.4726	0.7595	1.1372	-0.3335	0.6586	2	1	0	-0.5937	2	0.8103	0	0	-0.1940	3.9412	1	0	2	-0.4804	0	2
-0.0297	1	-0.0286	2	0	1	2	1	0.3123	-1.7030	2.4816	-1.2327	3.0874	-3.9588	-0.8627	0.2732	-1.6427	2	2	1	2.1086	2.6102	0	0.9947	1	2	1	1	-1.2527	-0.2323	-0.3064	2.6036	1.5742	-1.4105	1	2	2	-0.7849	0	-3.4291	2	2	0.3037	-0.5128	0	0	1	2.2576	1	2
0.1718	2	1.3793	0	0	0	1	1	0.5801	-4.9179	0.0362	6.4463	-2.7865	-1.4295	-1.5308	1.5466	-0.7637	2	1	1	-1.7103	-0.6345	1	1.9272	1	1	2	0	3.2724	1.8645	0.4491	3.2803	1.4445	1.3845	1	0	2	0.0027	2	3.5356	2	1	-2.6997	-1.9458	0	0	0	1.2965	1	0
-0.5558	0	-0.2173	1	1	1	1	2	-1.2097	0.2080	-1.8789	-1.8765	0.2763	0.3142	-0.1415	-1.7798	-0.4049	0	1	2	-0.6601	0.6859	2	-0.3872	0	1	1	1	-1.3001	-1.3516	1.9972	0.2908	-1.3457	-0.2013	2	2	0	-2.8946	0	-0.8610	2	2	3.1757	0.0413	0	2	0	-1.5465	2	2
0.5562	2	0.0212	2	1	0	1	1	2.7340	-2.7247	1.5460	3.0306	0.1754	-2.7552	1.1475	1.5739	-0.0235	0	2	1	-2.2431	-1.4547	2	2.2507	2	1	2	1	0.5924	0.5183	0.0320	3.1568	0.6245	1.4150	1	0	2	2.8418	0	2.9532	2	1	0.0013	-0.7053	2	0	0	-0.0216	2	2
