  Sim  Alg  sampleSize  numMeasures  avgDegree  alpha  penaltyDiscount    AP    AR  AvgDTrue  AvgDEst  EdgesT  UtRandomness   SpT  AHPCBound  AHPC  AHRCBound  AHRC
    1    1     1000.00        20.00       2.00      *             1.00  0.91  0.82      2.32     2.12   23.20          0.65  0.88       0.88  0.79       0.91  0.89
    1    2     1000.00        20.00       2.00      *             3.00  0.98  0.75      2.32     1.78   23.20          0.60  0.88       0.88  0.85       0.92  0.91
    1    3     1000.00        20.00       2.00      *             5.00  0.99  0.67      2.32     1.56   23.20          0.60  0.88       0.88  0.93       0.93  0.92
    2    1     1000.00        20.00       4.00      *             1.00  0.80  0.80      4.12     4.20   41.20          0.61  0.78       0.78  0.74       0.78  0.78
    2    2     1000.00        20.00       4.00      *             3.00  0.89  0.69      4.12     3.24   41.20          0.57  0.78       0.78  0.71       0.83  0.83
    2    3     1000.00        20.00       4.00      *             5.00  0.96  0.59      4.12     2.62   41.20          0.55  0.78       0.78  0.74       0.86  0.86
    3    1     1000.00        20.00       6.00      *             1.00  0.76  0.77      6.20     6.30   62.00          0.62  0.67       0.67  0.67       0.67  0.67
    3    2     1000.00        20.00       6.00      *             3.00  0.83  0.63      6.20     4.80   62.00          0.64  0.67       0.67  0.68       0.75  0.75
    3    3     1000.00        20.00       6.00      *             5.00  0.86  0.57      6.20     4.16   62.00          0.61  0.67       0.67  0.69       0.78  0.78
    4    1     1000.00        20.00       8.00      *             1.00  0.70  0.76      7.98     8.58   79.80          0.47  0.58       0.58  0.48       0.55  0.55
    4    2     1000.00        20.00       8.00      *             3.00  0.80  0.68      7.98     6.76   79.80          0.52  0.58       0.58  0.51       0.64  0.64
    4    3     1000.00        20.00       8.00      *             5.00  0.83  0.58      7.98     5.58   79.80          0.54  0.58       0.58  0.50       0.71  0.71
    5    1     1000.00        30.00       2.00      *             1.00  0.95  0.84      2.00     1.77   30.00          0.97  0.93       0.93  0.90       0.98  0.94
    5    2     1000.00        30.00       2.00      *             3.00  1.00  0.78      2.00     1.56   30.00          0.90  0.93       0.93  0.92       0.97  0.95
    5    3     1000.00        30.00       2.00      *             5.00  0.99  0.74      2.00     1.48   30.00          0.90  0.93       0.93  0.91       0.97  0.95
    6    1     1000.00        30.00       4.00      *             1.00  0.87  0.83      4.03     3.91   60.40          0.65  0.86       0.86  0.77       0.87  0.87
    6    2     1000.00        30.00       4.00      *             3.00  0.94  0.75      4.03     3.23   60.40          0.66  0.86       0.86  0.80       0.89  0.89
    6    3     1000.00        30.00       4.00      *             5.00  0.95  0.64      4.03     2.69   60.40          0.66  0.86       0.86  0.79       0.91  0.91
    7    1     1000.00        30.00       6.00      *             1.00  0.84  0.80      6.40     6.17   96.00          0.72  0.78       0.78  0.80       0.79  0.79
    7    2     1000.00        30.00       6.00      *             3.00  0.88  0.71      6.40     5.11   96.00          0.73  0.78       0.78  0.80       0.82  0.82
    7    3     1000.00        30.00       6.00      *             5.00  0.93  0.65      6.40     4.44   96.00          0.68  0.78       0.78  0.79       0.85  0.85
    8    1     1000.00        30.00       8.00      *             1.00  0.66  0.80      7.57     9.32  113.60          0.57  0.74       0.74  0.65       0.68  0.68
    8    2     1000.00        30.00       8.00      *             3.00  0.79  0.70      7.57     6.76  113.60          0.60  0.74       0.74  0.67       0.77  0.77
    8    3     1000.00        30.00       8.00      *             5.00  0.85  0.60      7.57     5.35  113.60          0.62  0.74       0.74  0.67       0.82  0.82
    9    1     1000.00        50.00       2.00      *             1.00  0.97  0.83      2.26     1.94   56.60          0.80  0.95       0.95  0.96       0.97  0.96
    9    2     1000.00        50.00       2.00      *             3.00  0.99  0.74      2.26     1.70   56.60          0.85  0.95       0.95  0.98       0.97  0.97
    9    3     1000.00        50.00       2.00      *             5.00  1.00  0.68      2.26     1.55   56.60          0.90  0.95       0.95  0.98       0.98  0.97
   10    1     1000.00        50.00       4.00      *             1.00  0.90  0.82      4.14     3.81  103.60          0.72  0.92       0.92  0.86       0.92  0.92
   10    2     1000.00        50.00       4.00      *             3.00  0.95  0.75      4.14     3.29  103.60          0.75  0.92       0.92  0.87       0.93  0.93
   10    3     1000.00        50.00       4.00      *             5.00  0.97  0.71      4.14     3.02  103.60          0.82  0.92       0.92  0.88       0.94  0.94
   11    1     1000.00        50.00       6.00      *             1.00  0.79  0.84      5.94     6.35  148.40          0.67  0.88       0.88  0.81       0.87  0.87
   11    2     1000.00        50.00       6.00      *             3.00  0.89  0.74      5.94     4.94  148.40          0.71  0.88       0.88  0.83       0.90  0.90
   11    3     1000.00        50.00       6.00      *             5.00  0.93  0.68      5.94     4.34  148.40          0.70  0.88       0.88  0.81       0.91  0.91
   12    1     1000.00        50.00       8.00      *             1.00  0.66  0.79      8.18    10.06  204.40          0.59  0.83       0.83  0.71       0.79  0.79
   12    2     1000.00        50.00       8.00      *             3.00  0.81  0.71      8.18     7.15  204.40          0.63  0.83       0.83  0.73       0.85  0.85
   12    3     1000.00        50.00       8.00      *             5.00  0.86  0.64      8.18     6.09  204.40          0.66  0.83       0.83  0.76       0.88  0.88
   13    1     1000.00       100.00       2.00      *             1.00  0.94  0.81      2.09     1.82  104.60          0.70  0.98       0.98  0.86       0.98  0.98
   13    2     1000.00       100.00       2.00      *             3.00  0.99  0.74      2.09     1.57  104.60          0.72  0.98       0.98  0.90       0.99  0.98
   13    3     1000.00       100.00       2.00      *             5.00  1.00  0.66      2.09     1.40  104.60          0.75  0.98       0.98  0.95       0.99  0.99
   14    1     1000.00       100.00       4.00      *             1.00  0.93  0.85      4.06     3.69  202.80          0.64  0.96       0.96  0.89       0.96  0.96
   14    2     1000.00       100.00       4.00      *             3.00  0.97  0.76      4.06     3.17  202.80          0.69  0.96       0.96  0.89       0.97  0.97
   14    3     1000.00       100.00       4.00      *             5.00  0.99  0.71      4.06     2.90  202.80          0.70  0.96       0.96  0.90       0.97  0.97
   15    1     1000.00       100.00       6.00      *             1.00  0.86  0.85      5.90     5.86  295.00          0.69  0.94       0.94  0.88       0.94  0.94
   15    2     1000.00       100.00       6.00      *             3.00  0.93  0.77      5.90     4.86  295.00          0.74  0.94       0.94  0.90       0.95  0.95
   15    3     1000.00       100.00       6.00      *             5.00  0.96  0.69      5.90     4.26  295.00          0.73  0.94       0.94  0.90       0.96  0.96
   16    1     1000.00       100.00       8.00      *             1.00  0.81  0.83      8.07     8.37  403.40          0.69  0.92       0.92  0.87       0.92  0.92
   16    2     1000.00       100.00       8.00      *             3.00  0.91  0.76      8.07     6.80  403.40          0.77  0.92       0.92  0.88       0.93  0.93
   16    3     1000.00       100.00       8.00      *             5.00  0.95  0.70      8.07     5.98  403.40          0.81  0.92       0.92  0.88       0.94  0.94
   17    1     1000.00       200.00       2.00      *             1.00  0.93  0.84      2.01     1.82  201.00          0.68  0.99       0.99  0.83       0.99  0.99
   17    2     1000.00       200.00       2.00      *             3.00  1.00  0.75      2.01     1.51  201.00          0.70  0.99       0.99  0.95       0.99  0.99
   17    3     1000.00       200.00       2.00      *             5.00  1.00  0.69      2.01     1.39  201.00          0.70  0.99       0.99  0.93       0.99  0.99
   18    1     1000.00       200.00       4.00      *             1.00  0.95  0.83      4.08     3.55  407.60          0.73  0.98       0.98  0.92       0.98  0.98
   18    2     1000.00       200.00       4.00      *             3.00  0.99  0.75      4.08     3.08  407.60          0.81  0.98       0.98  0.95       0.98  0.98
   18    3     1000.00       200.00       4.00      *             5.00  0.99  0.69      4.08     2.83  407.60          0.77  0.98       0.98  0.95       0.99  0.99
   19    1     1000.00       200.00       6.00      *             1.00  0.90  0.83      5.99     5.60  598.60          0.82  0.97       0.97  0.90       0.97  0.97
   19    2     1000.00       200.00       6.00      *             3.00  0.96  0.77      5.99     4.79  598.60          0.85  0.97       0.97  0.92       0.98  0.98
   19    3     1000.00       200.00       6.00      *             5.00  0.97  0.69      5.99     4.27  598.60          0.84  0.97       0.97  0.92       0.98  0.98
   20    1     1000.00       200.00       8.00      *             1.00  0.86  0.84      8.02     7.89  801.80          0.76  0.96       0.96  0.92       0.96  0.96
   20    2     1000.00       200.00       8.00      *             3.00  0.93  0.77      8.02     6.63  801.80          0.81  0.96       0.96  0.93       0.97  0.97
   20    3     1000.00       200.00       8.00      *             5.00  0.96  0.69      8.02     5.84  801.80          0.83  0.96       0.96  0.93       0.97  0.97
