  Sim  Alg  sampleSize  numMeasures  avgDegree    alpha  penaltyDiscount    AP    AR  AvgDTrue  AvgDEst  AvgDRatio  UtRandomness   SpT  AHPCBound  AHPC   AHP  AHRCBound  AHRC
    1    1     1000.00        20.00       2.00  1.00E-3                *  1.00  0.79      2.00     1.58       0.79          0.90  0.89       0.96  1.00  1.00       1.00  0.12
    1    2     1000.00        20.00       2.00     0.01                *  0.96  0.83      2.00     1.72       0.86          1.00  0.89       0.96  1.00  1.00       1.00  0.11
    1    3     1000.00        20.00       2.00     0.10                *  0.80  0.86      2.00     2.18       1.09          1.00  0.89       0.96  1.00  1.00       0.98  0.10
    2    1     1000.00        20.00       4.00  1.00E-3                *  0.99  0.68      4.00     2.74       0.68          0.52  0.79       0.79  0.72  0.72       1.00  0.20
    2    2     1000.00        20.00       4.00     0.01                *  0.99  0.71      4.00     2.90       0.72          0.50  0.79       0.79  0.72  0.72       1.00  0.19
    2    3     1000.00        20.00       4.00     0.10                *  0.94  0.77      4.00     3.28       0.82          0.52  0.79       0.79  0.80  0.80       1.00  0.21
    3    1     1000.00        20.00       6.00  1.00E-3                *  0.99  0.54      6.00     3.30       0.55          0.56  0.68       0.68  0.67  0.67       1.00  0.30
    3    2     1000.00        20.00       6.00     0.01                *  0.98  0.56      6.00     3.44       0.57          0.58  0.68       0.68  0.67  0.66       0.99  0.29
    3    3     1000.00        20.00       6.00     0.10                *  0.95  0.60      6.00     3.78       0.63          0.60  0.68       0.68  0.68  0.66       0.97  0.28
    4    1     1000.00        20.00       8.00  1.00E-3                *  0.97  0.42      8.00     3.50       0.44          0.58  0.58       0.58  0.54  0.53       0.99  0.33
    4    2     1000.00        20.00       8.00     0.01                *  0.98  0.46      8.00     3.74       0.47          0.60  0.58       0.58  0.53  0.53       0.99  0.32
    4    3     1000.00        20.00       8.00     0.10                *  0.97  0.51      8.00     4.18       0.52          0.62  0.58       0.58  0.55  0.54       0.98  0.31
    5    1     1000.00        30.00       2.00  1.00E-3                *  1.00  0.77      2.00     1.53       0.77          0.50  0.93       0.94     *     *       1.00  0.08
    5    2     1000.00        30.00       2.00     0.01                *  0.93  0.81      2.00     1.73       0.87          0.50  0.93       0.94     *     *       0.98  0.08
    5    3     1000.00        30.00       2.00     0.10                *  0.68  0.87      2.00     2.55       1.27          0.90  0.93       0.94     *     *       0.97  0.08
    6    1     1000.00        30.00       4.00  1.00E-3                *  1.00  0.71      4.00     2.83       0.71          0.58  0.86       0.86  0.90  0.90       1.00  0.22
    6    2     1000.00        30.00       4.00     0.01                *  1.00  0.75      4.00     2.99       0.75          0.58  0.86       0.86  0.93  0.93       1.00  0.21
    6    3     1000.00        30.00       4.00     0.10                *  0.92  0.79      4.00     3.44       0.86          0.66  0.86       0.86  0.98  0.98       0.99  0.20
    7    1     1000.00        30.00       6.00  1.00E-3                *  0.99  0.60      6.00     3.61       0.60          0.69  0.79       0.79  0.81  0.80       1.00  0.32
    7    2     1000.00        30.00       6.00     0.01                *  0.99  0.64      6.00     3.85       0.64          0.72  0.79       0.79  0.81  0.80       1.00  0.30
    7    3     1000.00        30.00       6.00     0.10                *  0.96  0.68      6.00     4.21       0.70          0.69  0.79       0.79  0.79  0.78       0.98  0.29
    8    1     1000.00        30.00       8.00  1.00E-3                *  0.98  0.49      8.00     4.04       0.51          0.60  0.72       0.72  0.72  0.71       1.00  0.32
    8    2     1000.00        30.00       8.00     0.01                *  0.98  0.53      8.00     4.33       0.54          0.64  0.72       0.72  0.73  0.73       1.00  0.31
    8    3     1000.00        30.00       8.00     0.10                *  0.97  0.57      8.00     4.75       0.59          0.64  0.72       0.72  0.69  0.68       1.00  0.32
    9    1     1000.00        50.00       2.00  1.00E-3                *  0.99  0.80      2.00     1.61       0.80          0.68  0.96       0.97  1.00  1.00       1.00  0.15
    9    2     1000.00        50.00       2.00     0.01                *  0.90  0.83      2.00     1.83       0.92          0.62  0.96       0.97  1.00  1.00       1.00  0.16
    9    3     1000.00        50.00       2.00     0.10                *  0.55  0.89      2.00     3.26       1.63          0.62  0.96       0.96  0.97  0.97       0.98  0.16
   10    1     1000.00        50.00       4.00  1.00E-3                *  0.99  0.73      4.00     2.94       0.73          0.58  0.92       0.92  0.93  0.93       1.00  0.20
   10    2     1000.00        50.00       4.00     0.01                *  0.98  0.78      4.00     3.17       0.79          0.60  0.92       0.92  0.95  0.95       1.00  0.19
   10    3     1000.00        50.00       4.00     0.10                *  0.85  0.83      4.00     3.87       0.97          0.57  0.92       0.92  0.87  0.85       0.95  0.17
   11    1     1000.00        50.00       6.00  1.00E-3                *  0.99  0.65      6.00     3.93       0.65          0.63  0.88       0.88  0.81  0.80       1.00  0.30
   11    2     1000.00        50.00       6.00     0.01                *  0.99  0.69      6.00     4.22       0.70          0.63  0.88       0.88  0.82  0.81       1.00  0.31
   11    3     1000.00        50.00       6.00     0.10                *  0.95  0.73      6.00     4.60       0.77          0.67  0.88       0.88  0.83  0.82       0.99  0.31
   12    1     1000.00        50.00       8.00  1.00E-3                *  0.98  0.51      8.00     4.11       0.51          0.64  0.84       0.84  0.72  0.71       0.99  0.36
   12    2     1000.00        50.00       8.00     0.01                *  0.97  0.55      8.00     4.48       0.56          0.64  0.84       0.84  0.74  0.73       1.00  0.36
   12    3     1000.00        50.00       8.00     0.10                *  0.96  0.59      8.00     4.97       0.62          0.65  0.84       0.84  0.71  0.69       0.98  0.35
   13    1     1000.00       100.00       2.00  1.00E-3                *  1.00  0.78      2.00     1.58       0.79          0.70  0.98       0.98  1.00  1.00       1.00  0.12
   13    2     1000.00       100.00       2.00     0.01                *  0.89  0.82      2.00     1.85       0.93          0.75  0.98       0.98  1.00  1.00       0.99  0.12
   13    3     1000.00       100.00       2.00     0.10                *  0.39  0.88      2.00     4.49       2.24          0.83  0.98       0.98  1.00  0.99       0.94  0.11
   14    1     1000.00       100.00       4.00  1.00E-3                *  1.00  0.74      4.00     2.98       0.74          0.54  0.96       0.96  0.94  0.94       1.00  0.21
   14    2     1000.00       100.00       4.00     0.01                *  0.97  0.78      4.00     3.22       0.80          0.54  0.96       0.96  0.96  0.96       1.00  0.20
   14    3     1000.00       100.00       4.00     0.10                *  0.73  0.83      4.00     4.54       1.14          0.62  0.96       0.96  0.90  0.86       0.97  0.18
   15    1     1000.00       100.00       6.00  1.00E-3                *  1.00  0.65      6.00     3.92       0.65          0.57  0.94       0.94  0.93  0.93       1.00  0.25
   15    2     1000.00       100.00       6.00     0.01                *  0.99  0.71      6.00     4.26       0.71          0.55  0.94       0.94  0.91  0.91       1.00  0.24
   15    3     1000.00       100.00       6.00     0.10                *  0.90  0.75      6.00     4.98       0.83          0.64  0.94       0.94  0.89  0.88       0.98  0.23
   16    1     1000.00       100.00       8.00  1.00E-3                *  1.00  0.58      8.00     4.66       0.58          0.66  0.92       0.92  0.86  0.86       1.00  0.33
   16    2     1000.00       100.00       8.00     0.01                *  0.99  0.62      8.00     5.00       0.62          0.67  0.92       0.92  0.87  0.87       1.00  0.33
   16    3     1000.00       100.00       8.00     0.10                *  0.96  0.67      8.00     5.61       0.70          0.68  0.92       0.92  0.83  0.82       0.99  0.31
   17    1     1000.00       200.00       2.00  1.00E-3                *  0.97  0.79      2.00     1.62       0.81          0.85  0.99       0.99  0.98  0.98       1.00  0.13
   17    2     1000.00       200.00       2.00     0.01                *  0.80  0.82      2.00     2.05       1.03          0.85  0.99       0.99  0.98  0.98       1.00  0.12
   17    3     1000.00       200.00       2.00     0.10                *  0.26  0.87      2.00     6.59       3.29          0.91  0.99       0.99  1.00  0.96       0.98  0.11
   18    1     1000.00       200.00       4.00  1.00E-3                *  1.00  0.76      4.00     3.06       0.76          0.56  0.98       0.98  0.97  0.97       1.00  0.16
   18    2     1000.00       200.00       4.00     0.01                *  0.95  0.80      4.00     3.36       0.84          0.58  0.98       0.98  0.97  0.97       1.00  0.16
   18    3     1000.00       200.00       4.00     0.10                *  0.62  0.85      4.00     5.53       1.38          0.69  0.98       0.98  0.96  0.93       0.98  0.15
   19    1     1000.00       200.00       6.00  1.00E-3                *  1.00  0.69      6.00     4.13       0.69          0.63  0.97       0.97  0.96  0.96       1.00  0.24
   19    2     1000.00       200.00       6.00     0.01                *  0.98  0.73      6.00     4.46       0.74          0.65  0.97       0.97  0.95  0.95       1.00  0.22
   19    3     1000.00       200.00       6.00     0.10                *  0.83  0.79      6.00     5.66       0.94          0.72  0.97       0.97  0.93  0.92       0.99  0.21
   20    1     1000.00       200.00       8.00  1.00E-3                *  1.00  0.63      8.00     5.04       0.63          0.60  0.96       0.96  0.93  0.93       1.00  0.25
   20    2     1000.00       200.00       8.00     0.01                *  1.00  0.68      8.00     5.48       0.69          0.61  0.96       0.96  0.93  0.93       1.00  0.24
   20    3     1000.00       200.00       8.00     0.10                *  0.93  0.73      8.00     6.34       0.79          0.62  0.96       0.96  0.92  0.92       0.99  0.22
