  Sim  Alg  sampleSize  numMeasures  avgDegree  alpha  penaltyDiscount  AHPCBound  AHPC  AHRCBound  AHRC
    1    1     1000.00        15.00       2.00      *             1.00       0.98  0.85       0.93  0.76
    2    1     1000.00        15.00       4.00      *             1.00       0.86  0.81       0.87  0.87
    3    1     1000.00        15.00       6.00      *             1.00       0.64  0.65       0.68  0.63
    4    1     1000.00        15.00       8.00      *             1.00       0.57  0.48       0.63  0.49
    5    1     1000.00        50.00       2.00      *             1.00       0.99  0.85       0.98  0.83
    6    1     1000.00        50.00       4.00      *             1.00       0.93  0.82       0.94  0.83
    7    1     1000.00        50.00       6.00      *             1.00       0.84  0.82       0.83  0.84
    8    1     1000.00        50.00       8.00      *             1.00       0.74  0.74       0.68  0.75
    9    1     1000.00       100.00       2.00      *             1.00       0.99  0.84       0.99  0.86
   10    1     1000.00       100.00       4.00      *             1.00       0.98  0.90       0.96  0.94
   11    1     1000.00       100.00       6.00      *             1.00       0.92  0.88       0.87  0.89
   12    1     1000.00       100.00       8.00      *             1.00       0.86  0.85       0.76  0.86
