  Sim  Alg  sampleSize  numMeasures  avgDegree    alpha  penaltyDiscount    AP    AR  AvgDTrue  AvgDEst  AvgDRatio  UtRandomness   SpT  AHPCBound  AHPC   AHP  AHRCBound  AHRC
    1    1     1000.00        20.00       2.00  1.00E-3             1.00  0.98  0.83      2.00     1.70       0.85          0.90  0.89       0.96  0.97  0.97       1.00  0.53
    1    2     1000.00        20.00       2.00     0.01             1.00  0.93  0.89      2.00     1.92       0.96          0.90  0.89       0.98  0.98  0.98       1.00  0.55
    1    3     1000.00        20.00       2.00     0.10             1.00  0.57  0.91      2.00     3.18       1.59          0.90  0.89       0.94  0.90  0.74       0.91  0.58
    2    1     1000.00        20.00       4.00  1.00E-3             1.00  0.98  0.80      4.00     3.28       0.82          0.49  0.79       0.79  0.91  0.90       0.99  0.35
    2    2     1000.00        20.00       4.00     0.01             1.00  0.98  0.87      4.00     3.56       0.89          0.39  0.79       0.79  0.87  0.87       0.98  0.43
    2    3     1000.00        20.00       4.00     0.10             1.00  0.83  0.91      4.00     4.42       1.10          0.74  0.79       0.79  0.94  0.84       0.91  0.57
    3    1     1000.00        20.00       6.00  1.00E-3             1.00  0.94  0.67      6.00     4.30       0.72          0.64  0.68       0.68  0.73  0.67       0.95  0.41
    3    2     1000.00        20.00       6.00     0.01             1.00  0.90  0.73      6.00     4.88       0.81          0.67  0.68       0.68  0.69  0.60       0.88  0.48
    3    3     1000.00        20.00       6.00     0.10             1.00  0.84  0.79      6.00     5.70       0.95          0.65  0.68       0.68  0.75  0.62       0.83  0.59
    4    1     1000.00        20.00       8.00  1.00E-3             1.00  0.89  0.66      8.00     5.94       0.74          0.70  0.58       0.58  0.71  0.63       0.84  0.50
    4    2     1000.00        20.00       8.00     0.01             1.00  0.85  0.66      8.00     6.24       0.78          0.68  0.58       0.58  0.66  0.56       0.79  0.49
    4    3     1000.00        20.00       8.00     0.10             1.00  0.83  0.74      8.00     7.14       0.89          0.70  0.58       0.58  0.74  0.61       0.74  0.61
    5    1     1000.00        30.00       2.00  1.00E-3             1.00  1.00  0.86      2.00     1.72       0.86          0.90  0.93       0.97  1.00  1.00       1.00  0.55
    5    2     1000.00        30.00       2.00     0.01             1.00  0.91  0.86      2.00     1.89       0.95          1.00  0.93       0.99  0.99  0.95       0.99  0.56
    5    3     1000.00        30.00       2.00     0.10             1.00  0.52  0.91      2.00     3.51       1.75          0.95  0.93       0.97  0.87  0.69       0.95  0.65
    6    1     1000.00        30.00       4.00  1.00E-3             1.00  0.97  0.76      4.00     3.11       0.78          0.72  0.86       0.86  0.93  0.90       0.99  0.52
    6    2     1000.00        30.00       4.00     0.01             1.00  0.96  0.79      4.00     3.32       0.83          0.69  0.86       0.89  0.84  0.81       1.00  0.57
    6    3     1000.00        30.00       4.00     0.10             1.00  0.76  0.86      4.00     4.53       1.13          0.84  0.86       0.86  0.92  0.79       0.91  0.62
    7    1     1000.00        30.00       6.00  1.00E-3             1.00  0.96  0.74      6.00     4.64       0.77          0.73  0.79       0.79  0.87  0.83       0.96  0.53
    7    2     1000.00        30.00       6.00     0.01             1.00  0.93  0.77      6.00     5.00       0.83          0.79  0.79       0.79  0.89  0.82       0.95  0.59
    7    3     1000.00        30.00       6.00     0.10             1.00  0.83  0.81      6.00     5.91       0.98          0.77  0.79       0.79  0.87  0.76       0.92  0.61
    8    1     1000.00        30.00       8.00  1.00E-3             1.00  0.88  0.63      8.00     5.75       0.72          0.66  0.72       0.72  0.73  0.67       0.86  0.40
    8    2     1000.00        30.00       8.00     0.01             1.00  0.86  0.66      8.00     6.17       0.77          0.66  0.72       0.72  0.75  0.68       0.87  0.41
    8    3     1000.00        30.00       8.00     0.10             1.00  0.82  0.70      8.00     6.85       0.86          0.68  0.72       0.72  0.76  0.64       0.85  0.49
    9    1     1000.00        50.00       2.00  1.00E-3             1.00  0.97  0.83      2.00     1.70       0.85          0.93  0.96       0.98  1.00  1.00       1.00  0.61
    9    2     1000.00        50.00       2.00     0.01             1.00  0.81  0.85      2.00     2.11       1.06          0.88  0.96       0.98  0.98  0.95       1.00  0.61
    9    3     1000.00        50.00       2.00     0.10             1.00  0.38  0.90      2.00     4.75       2.38          0.91  0.96       0.98  0.87  0.59       0.95  0.61
   10    1     1000.00        50.00       4.00  1.00E-3             1.00  0.99  0.78      4.00     3.16       0.79          0.75  0.92       0.92  0.97  0.97       1.00  0.52
   10    2     1000.00        50.00       4.00     0.01             1.00  0.93  0.83      4.00     3.56       0.89          0.79  0.92       0.92  0.96  0.93       0.98  0.59
   10    3     1000.00        50.00       4.00     0.10             1.00  0.61  0.87      4.00     5.67       1.42          0.74  0.92       0.92  0.88  0.68       0.92  0.61
   11    1     1000.00        50.00       6.00  1.00E-3             1.00  0.97  0.74      6.00     4.55       0.76          0.75  0.88       0.88  0.94  0.92       0.99  0.52
   11    2     1000.00        50.00       6.00     0.01             1.00  0.90  0.78      6.00     5.17       0.86          0.73  0.88       0.88  0.92  0.85       0.95  0.56
   11    3     1000.00        50.00       6.00     0.10             1.00  0.78  0.82      6.00     6.32       1.05          0.77  0.88       0.88  0.89  0.75       0.93  0.61
   12    1     1000.00        50.00       8.00  1.00E-3             1.00  0.94  0.69      8.00     5.83       0.73          0.72  0.84       0.84  0.85  0.81       0.97  0.45
   12    2     1000.00        50.00       8.00     0.01             1.00  0.92  0.71      8.00     6.18       0.77          0.77  0.84       0.84  0.90  0.84       0.97  0.51
   12    3     1000.00        50.00       8.00     0.10             1.00  0.84  0.75      8.00     7.15       0.89          0.78  0.84       0.84  0.89  0.77       0.90  0.59
   13    1     1000.00       100.00       2.00  1.00E-3             1.00  0.95  0.80      2.00     1.69       0.85          1.00  0.98       0.99  1.00  1.00       1.00  0.62
   13    2     1000.00       100.00       2.00     0.01             1.00  0.71  0.83      2.00     2.35       1.17          0.97  0.98       0.98  0.97  0.93       0.99  0.66
   13    3     1000.00       100.00       2.00     0.10             1.00  0.25  0.88      2.00     7.07       3.54          0.84  0.98       0.98  0.81  0.47       0.91  0.69
   14    1     1000.00       100.00       4.00  1.00E-3             1.00  0.99  0.81      4.00     3.28       0.82          0.88  0.96       0.96  0.98  0.98       1.00  0.56
   14    2     1000.00       100.00       4.00     0.01             1.00  0.88  0.84      4.00     3.82       0.96          0.83  0.96       0.96  0.98  0.96       0.99  0.59
   14    3     1000.00       100.00       4.00     0.10             1.00  0.52  0.89      4.00     6.82       1.70          0.87  0.96       0.96  0.92  0.70       0.94  0.66
   15    1     1000.00       100.00       6.00  1.00E-3             1.00  0.98  0.76      6.00     4.68       0.78          0.74  0.94       0.94  0.95  0.95       0.99  0.48
   15    2     1000.00       100.00       6.00     0.01             1.00  0.93  0.80      6.00     5.16       0.86          0.74  0.94       0.94  0.94  0.90       0.99  0.54
   15    3     1000.00       100.00       6.00     0.10             1.00  0.69  0.84      6.00     7.27       1.21          0.82  0.94       0.94  0.93  0.76       0.94  0.66
   16    1     1000.00       100.00       8.00  1.00E-3             1.00  0.97  0.70      8.00     5.77       0.72          0.75  0.92       0.92  0.93  0.91       0.99  0.49
   16    2     1000.00       100.00       8.00     0.01             1.00  0.93  0.74      8.00     6.37       0.80          0.75  0.92       0.92  0.90  0.86       0.98  0.53
   16    3     1000.00       100.00       8.00     0.10             1.00  0.79  0.77      8.00     7.74       0.97          0.77  0.92       0.92  0.87  0.73       0.93  0.64
   17    1     1000.00       200.00       2.00  1.00E-3             1.00  0.92  0.84      2.00     1.83       0.92          0.70  0.99       0.99  0.99  0.99       1.00  0.57
   17    2     1000.00       200.00       2.00     0.01             1.00  0.58  0.88      2.00     3.05       1.52          0.54  0.99       0.99  0.97  0.91       1.00  0.54
   17    3     1000.00       200.00       2.00     0.10             1.00  0.21  0.91      2.00     8.69       4.34          0.85  0.99       0.99  0.86  0.49       0.92  0.65
   18    1     1000.00       200.00       4.00  1.00E-3             1.00  0.97  0.81      4.00     3.34       0.83          0.67  0.98       0.98  0.98  0.97       1.00  0.54
   18    2     1000.00       200.00       4.00     0.01             1.00  0.82  0.84      4.00     4.11       1.03          0.66  0.98       0.98  0.97  0.93       0.99  0.58
   18    3     1000.00       200.00       4.00     0.10             1.00  0.44  0.88      4.00     8.05       2.01          0.80  0.98       0.98  0.90  0.63       0.95  0.67
   19    1     1000.00       200.00       6.00  1.00E-3             1.00  0.98  0.79      6.00     4.86       0.81          0.75  0.97       0.97  0.96  0.94       1.00  0.53
   19    2     1000.00       200.00       6.00     0.01             1.00  0.90  0.83      6.00     5.49       0.92          0.72  0.97       0.97  0.94  0.91       0.99  0.59
   19    3     1000.00       200.00       6.00     0.10             1.00  0.65  0.86      6.00     7.95       1.33          0.81  0.97       0.97  0.88  0.68       0.96  0.68
   20    1     1000.00       200.00       8.00  1.00E-3             1.00  0.98  0.74      8.00     6.02       0.75          0.73  0.96       0.96  0.94  0.93       0.99  0.50
   20    2     1000.00       200.00       8.00     0.01             1.00  0.93  0.77      8.00     6.60       0.82          0.78  0.96       0.96  0.92  0.87       0.99  0.59
   20    3     1000.00       200.00       8.00     0.10             1.00  0.77  0.80      8.00     8.29       1.04          0.79  0.96       0.96  0.88  0.74       0.97  0.68
