  Sim  Alg  sampleSize  numMeasures  avgDegree    alpha  penaltyDiscount    AP    AR  AvgDTrue  AvgDEst  AvgDRatio  UtRandomness   SpT  AHPCBound  AHPC   AHP  AHRCBound  AHRC
    1    1     1000.00        20.00       2.00  1.00E-3                *  1.00  0.86      2.00     1.72       0.86          1.00  0.89       1.00  1.00  1.00       1.00  0.11
    1    2     1000.00        20.00       2.00     0.01                *  0.95  0.89      2.00     1.88       0.94          1.00  0.89       0.98  1.00  1.00       1.00  0.11
    1    3     1000.00        20.00       2.00     0.10                *  0.79  0.96      2.00     2.44       1.22          1.00  0.89       0.98  1.00  1.00       0.99  0.13
    2    1     1000.00        20.00       4.00  1.00E-3                *  1.00  0.70      4.00     2.82       0.70          0.48  0.79       0.79  0.67  0.67       1.00  0.29
    2    2     1000.00        20.00       4.00     0.01                *  1.00  0.74      4.00     2.96       0.74          0.35  0.79       0.79  0.64  0.64       1.00  0.34
    2    3     1000.00        20.00       4.00     0.10                *  0.93  0.81      4.00     3.48       0.87          0.37  0.79       0.79  0.54  0.52       0.98  0.38
    3    1     1000.00        20.00       6.00  1.00E-3                *  0.99  0.60      6.00     3.66       0.61          0.69  0.68       0.68  0.66  0.65       0.99  0.51
    3    2     1000.00        20.00       6.00     0.01                *  0.99  0.64      6.00     3.86       0.64          0.61  0.68       0.68  0.60  0.60       0.99  0.53
    3    3     1000.00        20.00       6.00     0.10                *  0.96  0.67      6.00     4.18       0.70          0.56  0.68       0.68  0.59  0.57       0.98  0.57
    4    1     1000.00        20.00       8.00  1.00E-3                *  0.97  0.44      8.00     3.58       0.45          0.62  0.58       0.58  0.64  0.62       0.99  0.54
    4    2     1000.00        20.00       8.00     0.01                *  0.97  0.46      8.00     3.78       0.47          0.59  0.58       0.58  0.59  0.57       0.99  0.50
    4    3     1000.00        20.00       8.00     0.10                *  0.94  0.49      8.00     4.20       0.53          0.56  0.58       0.58  0.56  0.53       0.97  0.48
    5    1     1000.00        30.00       2.00  1.00E-3                *  0.99  0.79      2.00     1.59       0.79          1.00  0.93       0.97  1.00  1.00       1.00  0.08
    5    2     1000.00        30.00       2.00     0.01                *  0.98  0.85      2.00     1.75       0.87          1.00  0.93       0.97  1.00  1.00       1.00  0.10
    5    3     1000.00        30.00       2.00     0.10                *  0.67  0.91      2.00     2.72       1.36          1.00  0.93       0.93  0.74  0.69       0.97  0.14
    6    1     1000.00        30.00       4.00  1.00E-3                *  1.00  0.73      4.00     2.91       0.73          0.71  0.86       0.86  0.76  0.76       1.00  0.48
    6    2     1000.00        30.00       4.00     0.01                *  1.00  0.77      4.00     3.08       0.77          0.76  0.86       0.86  0.77  0.76       1.00  0.54
    6    3     1000.00        30.00       4.00     0.10                *  0.94  0.83      4.00     3.55       0.89          0.82  0.86       0.86  0.67  0.65       0.98  0.55
    7    1     1000.00        30.00       6.00  1.00E-3                *  0.99  0.59      6.00     3.57       0.60          0.68  0.79       0.79  0.70  0.70       0.99  0.54
    7    2     1000.00        30.00       6.00     0.01                *  0.99  0.63      6.00     3.83       0.64          0.71  0.79       0.79  0.69  0.68       0.99  0.59
    7    3     1000.00        30.00       6.00     0.10                *  0.97  0.69      6.00     4.27       0.71          0.71  0.79       0.79  0.68  0.66       0.97  0.66
    8    1     1000.00        30.00       8.00  1.00E-3                *  0.97  0.48      8.00     3.96       0.49          0.66  0.72       0.72  0.65  0.63       0.99  0.58
    8    2     1000.00        30.00       8.00     0.01                *  0.95  0.51      8.00     4.27       0.53          0.64  0.72       0.72  0.64  0.61       0.98  0.58
    8    3     1000.00        30.00       8.00     0.10                *  0.94  0.55      8.00     4.65       0.58          0.71  0.72       0.72  0.68  0.63       0.98  0.63
    9    1     1000.00        50.00       2.00  1.00E-3                *  1.00  0.79      2.00     1.58       0.79          0.80  0.96       0.98  0.93  0.93       1.00  0.14
    9    2     1000.00        50.00       2.00     0.01                *  0.92  0.85      2.00     1.85       0.92          1.00  0.96       1.00  1.00  1.00       1.00  0.13
    9    3     1000.00        50.00       2.00     0.10                *  0.56  0.91      2.00     3.25       1.62          0.70  0.96       0.98  0.36  0.20       0.94  0.22
   10    1     1000.00        50.00       4.00  1.00E-3                *  1.00  0.73      4.00     2.90       0.73          0.70  0.92       0.92  0.69  0.69       1.00  0.35
   10    2     1000.00        50.00       4.00     0.01                *  0.99  0.77      4.00     3.13       0.78          0.72  0.92       0.92  0.67  0.67       1.00  0.37
   10    3     1000.00        50.00       4.00     0.10                *  0.84  0.84      4.00     3.99       1.00          0.74  0.92       0.92  0.59  0.50       0.97  0.55
   11    1     1000.00        50.00       6.00  1.00E-3                *  1.00  0.62      6.00     3.71       0.62          0.67  0.88       0.88  0.74  0.74       1.00  0.65
   11    2     1000.00        50.00       6.00     0.01                *  1.00  0.67      6.00     4.01       0.67          0.68  0.88       0.88  0.74  0.74       1.00  0.68
   11    3     1000.00        50.00       6.00     0.10                *  0.95  0.73      6.00     4.62       0.77          0.70  0.88       0.88  0.71  0.68       0.99  0.71
   12    1     1000.00        50.00       8.00  1.00E-3                *  0.99  0.53      8.00     4.27       0.53          0.76  0.84       0.84  0.79  0.78       1.00  0.74
   12    2     1000.00        50.00       8.00     0.01                *  0.99  0.56      8.00     4.57       0.57          0.77  0.84       0.84  0.79  0.78       1.00  0.76
   12    3     1000.00        50.00       8.00     0.10                *  0.96  0.63      8.00     5.20       0.65          0.75  0.84       0.84  0.78  0.76       0.99  0.78
   13    1     1000.00       100.00       2.00  1.00E-3                *  0.99  0.82      2.00     1.65       0.83          0.90  0.98       0.99  0.85  0.84       1.00  0.25
   13    2     1000.00       100.00       2.00     0.01                *  0.91  0.84      2.00     1.85       0.92          0.90  0.98       0.99  0.77  0.75       1.00  0.26
   13    3     1000.00       100.00       2.00     0.10                *  0.42  0.90      2.00     4.32       2.16          0.68  0.98       0.99  0.49  0.20       0.90  0.58
   14    1     1000.00       100.00       4.00  1.00E-3                *  1.00  0.76      4.00     3.04       0.76          0.68  0.96       0.96  0.70  0.70       1.00  0.52
   14    2     1000.00       100.00       4.00     0.01                *  0.98  0.80      4.00     3.26       0.82          0.80  0.96       0.96  0.76  0.75       0.99  0.64
   14    3     1000.00       100.00       4.00     0.10                *  0.76  0.84      4.00     4.44       1.11          0.69  0.96       0.96  0.70  0.54       0.98  0.71
   15    1     1000.00       100.00       6.00  1.00E-3                *  1.00  0.67      6.00     4.03       0.67          0.72  0.94       0.94  0.77  0.77       1.00  0.72
   15    2     1000.00       100.00       6.00     0.01                *  0.99  0.70      6.00     4.25       0.71          0.75  0.94       0.94  0.77  0.77       1.00  0.74
   15    3     1000.00       100.00       6.00     0.10                *  0.89  0.76      6.00     5.08       0.85          0.74  0.94       0.94  0.79  0.71       0.99  0.80
   16    1     1000.00       100.00       8.00  1.00E-3                *  1.00  0.59      8.00     4.72       0.59          0.86  0.92       0.92  0.84  0.84       1.00  0.80
   16    2     1000.00       100.00       8.00     0.01                *  0.99  0.63      8.00     5.08       0.64          0.86  0.92       0.92  0.85  0.85       1.00  0.83
   16    3     1000.00       100.00       8.00     0.10                *  0.95  0.68      8.00     5.76       0.72          0.83  0.92       0.92  0.84  0.80       0.99  0.84
