  Sim  Alg  sampleSize  numMeasures  avgDegree    alpha  penaltyDiscount   SpT  UtRandomness  AHPCBound  AHPC  AHRCBound  AHRC
    1    1     1000.00        15.00       2.00  1.00E-3                *  0.86          0.90       0.98  0.58       1.00  0.65
    1    2     1000.00        15.00       2.00     0.01                *  0.86          1.00       1.00  0.55       1.00  0.70
    1    3     1000.00        15.00       2.00     0.10                *  0.86          1.00       1.00  0.67       1.00  0.78
    2    1     1000.00        15.00       4.00  1.00E-3                *  0.71          0.54       0.83  0.67       1.00  0.64
    2    2     1000.00        15.00       4.00     0.01                *  0.71          0.53       0.80  0.64       1.00  0.62
    2    3     1000.00        15.00       4.00     0.10                *  0.71          0.52       0.80  0.70       1.00  0.68
    3    1     1000.00        15.00       6.00  1.00E-3                *  0.57          0.48       0.58  0.37       0.99  0.37
    3    2     1000.00        15.00       6.00     0.01                *  0.57          0.50       0.58  0.39       0.98  0.39
    3    3     1000.00        15.00       6.00     0.10                *  0.57          0.48       0.56  0.40       0.97  0.41
    4    1     1000.00        15.00       8.00  1.00E-3                *  0.43          0.54       0.50  0.51       1.00  0.46
    4    2     1000.00        15.00       8.00     0.01                *  0.43          0.53       0.49  0.52       0.99  0.50
    4    3     1000.00        15.00       8.00     0.10                *  0.43          0.60       0.58  0.57       0.99  0.56
    5    1     1000.00        50.00       2.00  1.00E-3                *  0.96          0.90       0.99  0.63       1.00  0.61
    5    2     1000.00        50.00       2.00     0.01                *  0.96          0.90       0.99  0.58       1.00  0.58
    5    3     1000.00        50.00       2.00     0.10                *  0.96          0.60       0.97  0.52       0.95  0.61
    6    1     1000.00        50.00       4.00  1.00E-3                *  0.92          0.62       0.93  0.58       1.00  0.58
    6    2     1000.00        50.00       4.00     0.01                *  0.92          0.58       0.92  0.61       1.00  0.62
    6    3     1000.00        50.00       4.00     0.10                *  0.92          0.66       0.94  0.64       0.97  0.66
    7    1     1000.00        50.00       6.00  1.00E-3                *  0.88          0.57       0.88  0.57       1.00  0.55
    7    2     1000.00        50.00       6.00     0.01                *  0.88          0.64       0.90  0.58       1.00  0.56
    7    3     1000.00        50.00       6.00     0.10                *  0.88          0.55       0.87  0.59       0.99  0.59
    8    1     1000.00        50.00       8.00  1.00E-3                *  0.84          0.51       0.73  0.52       1.00  0.52
    8    2     1000.00        50.00       8.00     0.01                *  0.84          0.52       0.73  0.53       1.00  0.53
    8    3     1000.00        50.00       8.00     0.10                *  0.84          0.54       0.73  0.55       0.99  0.55
    9    1     1000.00       100.00       2.00  1.00E-3                *  0.98          1.00       1.00  0.60       1.00  0.62
    9    2     1000.00       100.00       2.00     0.01                *  0.98          0.80       0.99  0.66       1.00  0.68
    9    3     1000.00       100.00       2.00     0.10                *  0.98          0.65       0.98  0.44       0.89  0.55
   10    1     1000.00       100.00       4.00  1.00E-3                *  0.96          0.54       0.97  0.65       1.00  0.65
   10    2     1000.00       100.00       4.00     0.01                *  0.96          0.69       0.97  0.67       1.00  0.67
   10    3     1000.00       100.00       4.00     0.10                *  0.96          0.70       0.96  0.61       0.98  0.63
   11    1     1000.00       100.00       6.00  1.00E-3                *  0.94          0.56       0.92  0.58       1.00  0.57
   11    2     1000.00       100.00       6.00     0.01                *  0.94          0.55       0.92  0.59       1.00  0.59
   11    3     1000.00       100.00       6.00     0.10                *  0.94          0.58       0.92  0.59       0.99  0.58
   12    1     1000.00       100.00       8.00  1.00E-3                *  0.92          0.63       0.89  0.60       1.00  0.59
   12    2     1000.00       100.00       8.00     0.01                *  0.92          0.61       0.88  0.59       1.00  0.59
   12    3     1000.00       100.00       8.00     0.10                *  0.92          0.58       0.86  0.59       0.99  0.59
