  Sim  Alg  sampleSize  numMeasures  avgDegree    alpha  penaltyDiscount    AP    AR  AvgDTrue  AvgDEst  AvgDRatio  UtRandomness   SpT  AHPCBound  AHPC   AHP  AHRCBound  AHRC
    1    1     1000.00        20.00       2.00  1.00E-3                *  1.00  0.80      2.00     1.60       0.80          1.00  0.89       0.92  0.85  0.85       1.00  0.84
    1    2     1000.00        20.00       2.00     0.01                *  0.99  0.84      2.00     1.70       0.85          1.00  0.89       0.92  0.84  0.84       1.00  0.86
    1    3     1000.00        20.00       2.00     0.10                *  0.76  0.88      2.00     2.32       1.16          0.67  0.89       0.92  0.65  0.51       0.98  0.73
    2    1     1000.00        20.00       4.00  1.00E-3                *  1.00  0.74      4.00     2.98       0.74          0.56  0.79       0.79  0.65  0.65       1.00  0.62
    2    2     1000.00        20.00       4.00     0.01                *  1.00  0.78      4.00     3.12       0.78          0.60  0.79       0.79  0.67  0.67       1.00  0.65
    2    3     1000.00        20.00       4.00     0.10                *  0.95  0.82      4.00     3.48       0.87          0.62  0.79       0.79  0.66  0.62       0.98  0.69
    3    1     1000.00        20.00       6.00  1.00E-3                *  0.98  0.53      6.00     3.22       0.54          0.67  0.68       0.68  0.73  0.72       1.00  0.69
    3    2     1000.00        20.00       6.00     0.01                *  0.98  0.56      6.00     3.44       0.57          0.71  0.68       0.68  0.77  0.75       1.00  0.71
    3    3     1000.00        20.00       6.00     0.10                *  0.95  0.61      6.00     3.86       0.64          0.60  0.68       0.68  0.71  0.67       0.97  0.65
    4    1     1000.00        20.00       8.00  1.00E-3                *  0.97  0.40      8.00     3.30       0.41          0.69  0.58       0.58  0.69  0.66       1.00  0.61
    4    2     1000.00        20.00       8.00     0.01                *  0.97  0.43      8.00     3.54       0.44          0.64  0.58       0.58  0.64  0.62       1.00  0.60
    4    3     1000.00        20.00       8.00     0.10                *  0.94  0.46      8.00     3.94       0.49          0.69  0.58       0.58  0.71  0.67       0.97  0.67
    5    1     1000.00        30.00       2.00  1.00E-3                *  1.00  0.83      2.00     1.67       0.83          1.00  0.93       0.99  0.94  0.94       1.00  0.78
    5    2     1000.00        30.00       2.00     0.01                *  0.96  0.88      2.00     1.83       0.91          1.00  0.93       0.99  0.77  0.75       1.00  0.73
    5    3     1000.00        30.00       2.00     0.10                *  0.67  0.91      2.00     2.72       1.36          0.80  0.93       0.96  0.54  0.37       0.97  0.63
    6    1     1000.00        30.00       4.00  1.00E-3                *  1.00  0.68      4.00     2.73       0.68          0.75  0.86       0.86  0.84  0.84       1.00  0.74
    6    2     1000.00        30.00       4.00     0.01                *  1.00  0.73      4.00     2.91       0.73          0.82  0.86       0.86  0.80  0.80       1.00  0.73
    6    3     1000.00        30.00       4.00     0.10                *  0.93  0.79      4.00     3.40       0.85          0.74  0.86       0.86  0.75  0.70       0.98  0.74
    7    1     1000.00        30.00       6.00  1.00E-3                *  1.00  0.58      6.00     3.48       0.58          0.72  0.79       0.79  0.77  0.77       1.00  0.78
    7    2     1000.00        30.00       6.00     0.01                *  0.99  0.61      6.00     3.68       0.61          0.75  0.79       0.79  0.77  0.77       1.00  0.79
    7    3     1000.00        30.00       6.00     0.10                *  0.98  0.66      6.00     4.07       0.68          0.79  0.79       0.79  0.80  0.78       1.00  0.81
    8    1     1000.00        30.00       8.00  1.00E-3                *  0.98  0.49      8.00     3.99       0.50          0.69  0.72       0.72  0.70  0.69       1.00  0.69
    8    2     1000.00        30.00       8.00     0.01                *  0.98  0.53      8.00     4.35       0.54          0.72  0.72       0.72  0.73  0.72       0.99  0.71
    8    3     1000.00        30.00       8.00     0.10                *  0.96  0.57      8.00     4.73       0.59          0.63  0.72       0.72  0.68  0.66       0.98  0.67
    9    1     1000.00        50.00       2.00  1.00E-3                *  0.99  0.78      2.00     1.57       0.78          0.80  0.96       0.97  0.89  0.89       1.00  0.78
    9    2     1000.00        50.00       2.00     0.01                *  0.93  0.82      2.00     1.77       0.88          0.78  0.96       0.98  0.83  0.78       1.00  0.77
    9    3     1000.00        50.00       2.00     0.10                *  0.55  0.87      2.00     3.20       1.60          0.70  0.96       0.97  0.55  0.30       0.96  0.69
   10    1     1000.00        50.00       4.00  1.00E-3                *  1.00  0.72      4.00     2.87       0.72          0.71  0.92       0.92  0.83  0.83       1.00  0.81
   10    2     1000.00        50.00       4.00     0.01                *  0.99  0.76      4.00     3.06       0.76          0.68  0.92       0.92  0.77  0.76       0.99  0.78
   10    3     1000.00        50.00       4.00     0.10                *  0.87  0.81      4.00     3.73       0.93          0.69  0.92       0.92  0.70  0.60       0.99  0.74
   11    1     1000.00        50.00       6.00  1.00E-3                *  1.00  0.64      6.00     3.85       0.64          0.73  0.88       0.88  0.77  0.77       1.00  0.75
