algorithm,sampleSize,rep,seed,shd_before,adjPrec_before,adjRec_before,adjF1_before,arrPrec_before,arrRec_before,arrF1_before,edges_before,violations_before,modelP_before,shd_after,adjPrec_after,adjRec_after,adjF1_after,arrPrec_after,arrRec_after,arrF1_after,edges_after,violations_after,modelP_after,delta_shd,delta_violations,delta_modelP
PC,500,1,500,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12,9,0.038316,1.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,14,0,0.412486,-8.000000,-9,0.374169
FGES,500,1,500,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13,4,0.354797,1.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,14,0,0.412486,-6.000000,-4,0.057688
BOSS,500,1,500,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,2,0.617846,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.623205,1.000000,-2,0.005358
PC,500,2,1500,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9,12,0.002629,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17,3,0.143074,3.000000,-9,0.140444
FGES,500,2,1500,7.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,11,8,0.058379,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,2,0.279819,-3.000000,-6,0.221440
BOSS,500,2,1500,2.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,13,5,0.166866,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,2,0.279819,2.000000,-3,0.112953
PC,500,3,2500,8.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,12,7,0.245231,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,0,0.019831,0.000000,-7,-0.225400
FGES,500,3,2500,8.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,11,4,0.924207,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,0,0.010625,1.000000,-4,-0.913581
BOSS,500,3,2500,8.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,11,4,0.924207,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,0,0.010625,1.000000,-4,-0.913581
PC,500,4,3500,6.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,10,10,0.009334,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,1,0.085644,-1.000000,-9,0.076310
FGES,500,4,3500,6.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,12,5,0.012663,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,1,0.085644,-1.000000,-4,0.072981
BOSS,500,4,3500,4.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,13,2,0.075566,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,1,0.085644,1.000000,-1,0.010078
PC,500,5,4500,5.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,12,13,0.000086,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.507782,-1.000000,-13,0.507696
FGES,500,5,4500,1.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,14,1,0.289052,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.265066,1.000000,-1,-0.023986
BOSS,500,5,4500,1.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,14,1,0.289052,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.265066,1.000000,-1,-0.023986
PC,500,6,5500,7.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,13,5,0.028762,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,1,0.989981,2.000000,-4,0.961219
FGES,500,6,5500,5.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,13,3,0.364225,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,0,0.721392,3.000000,-3,0.357168
BOSS,500,6,5500,5.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,13,1,0.330021,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,1,0.989981,4.000000,0,0.659959
PC,500,7,6500,4.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,14,7,0.130849,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,0,0.751419,-3.000000,-7,0.620569
FGES,500,7,6500,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17,8,0.163998,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,0,0.678440,-10.000000,-8,0.514442
BOSS,500,7,6500,1.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,14,4,0.783619,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,0,0.678440,2.000000,-4,-0.105180
PC,500,8,7500,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,5,0.379960,1.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,14,0,0.686724,-7.000000,-5,0.306764
FGES,500,8,7500,2.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,13,1,0.647528,1.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,14,0,0.686724,-1.000000,-1,0.039196
BOSS,500,8,7500,2.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,13,1,0.647528,1.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,14,0,0.686724,-1.000000,-1,0.039196
PC,500,9,8500,11.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,10,21,0.000000,16.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.527089,5.000000,-21,0.527089
FGES,500,9,8500,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,3,0.322822,11.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17,0,0.226781,-1.000000,-3,-0.096042
BOSS,500,9,8500,1.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,14,3,0.567781,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,0,0.267246,4.000000,-3,-0.300535
PC,500,10,9500,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12,5,0.481386,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,0,0.620698,-1.000000,-5,0.139312
FGES,500,10,9500,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13,1,0.743232,14.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,0,0.943738,1.000000,-1,0.200506
BOSS,500,10,9500,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13,1,0.964102,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,0,0.620698,1.000000,-1,-0.343403
PC,2000,1,2000,6.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,10,5,0.139432,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,0,0.042244,-2.000000,-5,-0.097188
