"algorithm","sampleSize","viol_bin","n","mean_delta_shd","se_delta_shd"
"PC","500","0",1,-9,NA
"PC","500","1-2",4,1,0.816496580927726
"PC","500","3-4",13,-1.38461538461538,0.780683966545555
"PC","500","5-6",17,-0.88235294117647,0.812957350652074
"PC","500","7-10",31,-2.09677419354839,0.572402668083766
"PC","500","11+",34,-3.64705882352941,0.611655001818729
"PC","2000","0",1,-1,NA
"PC","2000","1-2",6,0.666666666666667,0.760116950066092
"PC","2000","3-4",9,-1.22222222222222,0.640697921926155
"PC","2000","5-6",17,-0.411764705882353,0.437731649004036
"PC","2000","7-10",25,-1.92,0.61892379714038
"PC","2000","11+",42,-3.45238095238095,0.71177452496771
"FGES","500","0",7,0.285714285714286,0.285714285714286
"FGES","500","1-2",20,0.55,0.577995629194911
"FGES","500","3-4",29,-0.551724137931034,0.677917353494397
"FGES","500","5-6",23,-2.21739130434783,0.857324917857385
"FGES","500","7-10",16,-2.875,1.30981868974297
"FGES","500","11+",5,-8.6,3.32565782966318
"FGES","2000","0",9,0.666666666666667,0.600925212577332
"FGES","2000","1-2",30,-0.2,0.566091662290607
"FGES","2000","3-4",25,-0.48,0.800249960949702
"FGES","2000","5-6",26,-0.423076923076923,0.836058659927781
"FGES","2000","7-10",8,-1.75,2.83945417290014
"FGES","2000","11+",2,-4.5,4.5
"BOSS","500","0",9,0.222222222222222,0.222222222222222
"BOSS","500","1-2",35,0.371428571428571,0.320413897991973
"BOSS","500","3-4",34,1.41176470588235,0.340696693822384
"BOSS","500","5-6",15,0.266666666666667,0.74620734171234
"BOSS","500","7-10",7,2.42857142857143,0.868966075756888
"BOSS","2000","0",15,0.4,0.362530786869986
"BOSS","2000","1-2",37,0.891891891891892,0.323698094112102
"BOSS","2000","3-4",30,2.23333333333333,0.473876974512563
"BOSS","2000","5-6",17,1.94117647058824,0.627029576627289
"BOSS","2000","7-10",1,5,NA
